"","Year","State_code","State","Population","Mechanism","pol_ubc","pol_vmisd","pol_mayissue","Age.Adjusted.Rate","logy","ur","law.officers","law.officers.pc","vcrime","vcrime.pc","alcc.pc","incarc","incarc.pc"
"37",2001,"OK","Oklahoma",3467100,"Firearm",0,0,0,14.01,2.63977136034892,3.625,10561,304.606154999856,17541,505.927143722419,1.6544,15061,434.397623374001
"38",2001,"OR","Oregon",3467937,"Firearm",0,1,0,10.16,2.31845844215034,6.375,7780,224.340868937354,10566,304.676815063249,2.3007,10950,315.749680573782
"39",2001,"PA","Pennsylvania",12298970,"Firearm",1,1,0,9.53,2.25444471766611,4.80833333333333,25244,205.252960207237,49781,404.757471560627,2.0172,37141,301.984637737957
"40",2001,"RI","Rhode Island",1057142,"Firearm",1,0,1,4.3,1.45861502269952,4.44166666666667,3070,290.405640869439,3239,306.392140317952,2.3591,3364,318.216474229574
"41",2001,"SC","South Carolina",4064995,"Firearm",0,0,0,13.73,2.61958321977988,5.28333333333333,12318,303.026202984259,32784,806.495456943981,2.2682,21713,534.145798457317
"42",2001,"SD","South Dakota",757972,"Firearm",0,1,0,7.1,1.96009478404727,3,1989,262.410748682009,1164,153.567677961719,2.3501,2764,364.657269661676
"43",2001,"TN","Tennessee",5750789,"Firearm",0,0,0,14.47,2.67207754064339,4.51666666666667,22994,399.840787064175,42353,736.47285615939,1.8104,13788,239.758405324904
"44",2001,"TX","Texas",21319622,"Firearm",0,0,0,11.22,2.41769790009455,4.95833333333333,75359,353.472495900725,120823,566.722055391038,2.2088,132149,619.846824676347
"45",2001,"UT","Utah",2283715,"Firearm",0,0,0,10.99,2.39698576841553,4.36666666666667,6835,299.29303787907,5247,229.757215764664,1.2952,4145,181.502507974944
"46",2001,"VA","Virginia",7198362,"Firearm",0,0,0,10.62,2.36273901581379,3.28333333333333,21074,292.76104758277,20575,285.828914967044,1.9729,29906,415.455627266314
"47",2001,"VT","Vermont",612223,"Firearm",0,0,0,8.2,2.10413415427021,3.29166666666667,1238,202.213899183794,637,104.047054749658,2.4542,1400,228.674845603644
"48",2001,"WA","Washington",5985722,"Firearm",0,0,0,8.53,2.14358936150359,6.00833333333333,14000,233.889913363835,21079,352.15467741402,2.1452,15226,254.371987205553
"49",2001,"WI","Wisconsin",5406835,"Firearm",0,0,1,8.7,2.16332302566054,4.43333333333333,16589,306.815355008984,12294,227.37886397495,2.7543,17337,320.649696171605
"50",2001,"WV","West Virginia",1801481,"Firearm",0,1,0,13.15,2.57642175862377,5.39166666666667,4003,222.20606267843,4995,277.271866869537,1.7185,3403,188.900132724131
"51",2001,"WY","Wyoming",494657,"Firearm",0,0,0,13.91,2.63260800593535,3.81666666666667,2006,405.533531315639,1263,255.328439706706,2.5268,1021,206.405650784281
"52",2002,"AK","Alaska",642270,"Firearm",0,0,0,19.89,2.99021709286588,7.16666666666667,1857,289.13073940866,3594,559.577747676211,2.9874,2991,465.691998692139
"53",2002,"AL","Alabama",4480089,"Firearm",0,0,1,16.08,2.77757626375082,5.925,13613,303.855570726385,19628,438.116296350363,1.9206,25100,560.256727042699
"54",2002,"AR","Arkansas",2705927,"Firearm",0,0,0,16.29,2.79055142261395,5.33333333333333,7638,282.269255600761,11359,419.782204028416,1.7484,11849,437.890600892042
"55",2002,"AZ","Arizona",5396255,"Firearm",0,0,0,17.89,2.88424189752063,6.14166666666667,18731,347.111098345056,29784,551.938335011967,2.4838,29359,544.062502605974
"56",2002,"CA","California",34871843,"Firearm",1,1,1,9.75,2.27726728500976,6.75833333333333,113827,326.415211263712,205993,590.714405315486,2.2069,159695,457.948265022872
"57",2002,"CO","Colorado",4490406,"Firearm",0,0,1,11.47,2.43973493114128,5.68333333333333,15489,344.935402277656,15703,349.701118339856,2.642,16184,360.412844629194
"58",2002,"CT","Connecticut",3458749,"Firearm",1,1,1,4.32,1.46325540225602,4.4,9741,281.633619554353,10723,310.025387791944,2.2062,18716,541.120503395881
"59",2002,"DC","District of Columbia",573158,"Firearm",NA,NA,NA,29.79,3.39417276672519,6.98333333333333,4902,855.261550916152,4810,839.210130539921,3.6617,NA,NA
"60",2002,"DE","Delaware",806169,"Firearm",0,1,1,9.07,2.20497226412705,4.26666666666667,3101,384.658799829812,4810,596.649089706997,3.0109,6637,823.276509019821
"61",2002,"FL","Florida",16689370,"Firearm",0,0,0,10.97,2.39516427428714,4.95833333333333,69762,418.002596862554,127810,765.816804349116,2.5807,75210,450.646129841929
