Year,State,State_code,State_num_code,Population,firearm.deaths.pc,Region,pol_ubc,pol_vmisd,pol_mayissue,ur,law.officers.pc,vcrime.pc,homi.pc,alcc.pc,incarc.pc,prop18.24
2001,Utah,UT,49,2283715,10.99,West,0,0,0,4.366666667,299.2930379,229.7572158,2.933816172,1.2952,181.502508,14.38502615
2001,Vermont,VT,50,612223,8.2,Northeast,0,0,0,3.291666667,202.2138992,104.0470547,1.143374228,2.4542,228.6748456,9.611693778
2001,Virginia,VA,51,7198362,10.62,South,0,0,0,3.283333333,292.7610476,285.828915,5.056705956,1.9729,415.4556273,9.819289444
2001,Washington,WA,53,5985722,8.53,West,0,0,0,6.008333333,233.8899134,352.1546774,2.990449607,2.1452,254.3719872,9.797581645
2001,West Virginia,WV,54,1801481,13.15,South,0,1,0,5.391666667,222.2060627,277.2718669,2.22039533,1.7185,188.9001327,9.681423229
2001,Wisconsin,WI,55,5406835,8.7,Midwest,0,0,1,4.433333333,306.815355,227.378864,3.551060833,2.7543,320.6496962,9.884766226
2001,Wyoming,WY,56,494657,13.91,West,0,0,0,3.816666667,405.5335313,255.3284397,1.819442563,2.5268,206.4056508,10.47392436
2002,Alabama,AL,1,4480089,16.08,South,0,0,1,5.925,303.8555707,438.1162964,6.763258498,1.9206,560.256727,10.0591082
2002,Alaska,AK,2,642270,19.89,West,0,0,0,7.166666667,289.1307394,559.5777477,5.138026064,2.9874,465.6919987,10.16397934
2002,Arizona,AZ,4,5396255,17.89,West,0,0,0,6.141666667,347.1110983,551.938335,7.171640332,2.4838,544.0625026,10.1812646
2002,Arkansas,AR,5,2705927,16.29,South,0,0,0,5.333333333,282.2692556,419.782204,5.247739499,1.7484,437.8906009,10.05951011
2002,California,CA,6,34871843,9.75,West,1,1,1,6.758333333,326.4152113,590.7144053,6.868005227,2.2069,457.948265,10.20075136
2002,Colorado,CO,8,4490406,11.47,West,0,0,1,5.683333333,344.9354023,349.7011183,3.986276519,2.642,360.4128446,10.33539061
2002,Connecticut,CT,9,3458749,4.32,Northeast,1,1,1,4.4,281.6336196,310.0253878,2.42862376,2.2062,541.1205034,8.261859996
