Year,State.no,Type of beverage,Gallons of beverage,Gallons of ethanol (absolute alcohol),Population (age 14 and older),Gallons of ethanol per capita age 14 and older,Decile for per capita consumption age 14 and older,Population (age 21 and older),Gallons of ethanol per capita age 21 and older,Decile for per capita consumption age 21 and older,Type of data source,Time-varying alcohol by volume (ABV),Gallons of ethanol derived from time-varying ABV
1970,1,1,3863000,1738350,2499000,6956,9,2020000,8606,9,.,.,.
1970,1,2,1412000,225920,2499000,904,9,2020000,1118,9,.,.,.
1970,1,3,33098000,1489410,2499000,5960,10,2020000,7373,10,.,.,.
1970,1,4,.,3453680,2499000,13820,10,2020000,17097,10,.,.,.
1970,2,1,945000,425250,205000,20744,1,165000,25773,1,.,.,.
1970,2,2,470000,75200,205000,3668,2,165000,4558,2,.,.,.
1970,2,3,5372000,241740,205000,11792,5,165000,14651,5,.,.,.
1970,2,4,.,742190,205000,36204,1,165000,44981,1,.,.,.
1970,4,1,2967000,1335150,1272000,10496,5,1031000,12950,5,.,.,.
1970,4,2,2508000,401280,1272000,3155,3,1031000,3892,3,.,.,.
1970,4,3,38604000,1737180,1272000,13657,2,1031000,16849,2,.,.,.
1970,4,4,.,3473610,1272000,27308,4,1031000,33692,4,.,.,.
1970,5,1,1865000,839250,1422000,5902,10,1169000,7179,10,.,.,.
1970,5,2,1193000,190880,1422000,1342,7,1169000,1633,8,.,.,.
1970,5,3,22378000,1007010,1422000,7082,10,1169000,8614,10,.,.,.
1970,5,4,.,2037140,1422000,14326,10,1169000,17426,10,.,.,.
1970,6,1,45071000,20281950,14811000,13694,3,12247000,16561,3,.,.,.
1970,6,2,58590000,9374400,14811000,6329,1,12247000,7654,1,.,.,.
1970,6,3,363645000,16364025,14811000,11049,7,12247000,13362,7,.,.,.
1970,6,4,.,46020375,14811000,31072,2,12247000,37577,2,.,.,.
1970,8,1,4494000,2022300,1608000,12576,3,1301000,15544,3,.,.,.
1970,8,2,3132000,501120,1608000,3116,3,1301000,3852,3,.,.,.
1970,8,3,42145000,1896525,1608000,11794,5,1301000,14577,5,.,.,.
1970,8,4,.,4419945,1608000,27487,4,1301000,33973,3,.,.,.
1970,9,1,7277000,3274650,2238000,14632,2,1868000,17530,2,.,.,.
1970,9,2,4726000,756160,2238000,3379,3,1868000,4048,3,.,.,.
1970,9,3,49680000,2235600,2238000,9989,8,1868000,11968,8,.,.,.
1970,9,4,.,6266410,2238000,28000,4,1868000,33546,4,.,.,.
1970,10,1,1521000,684450,394000,17372,1,322000,21256,2,.,.,.
1970,10,2,528000,84480,394000,2144,5,322000,2624,5,.,.,.
1970,10,3,10263000,461835,394000,11722,6,322000,14343,5,.,.,.
1970,10,4,.,1230765,394000,31238,2,322000,38223,2,.,.,.
1970,11,1,5730000,2578500,581000,44380,1,486000,53056,1,.,.,.
1970,11,2,2976000,476160,581000,8196,1,486000,9798,1,.,.,.
1970,11,3,17887000,804915,581000,13854,1,486000,16562,2,.,.,.
1970,11,4,.,3859575,581000,66430,1,486000,79415,1,.,.,.
1970,12,1,17402000,7830900,5166000,15159,2,4355000,17981,2,.,.,.
1970,12,2,9539000,1526240,5166000,2954,4,4355000,3505,4,.,.,.
1970,12,3,125228000,5635260,5166000,10908,7,4355000,12940,7,.,.,.
1970,12,4,.,14992400,5166000,29021,3,4355000,34426,3,.,.,.
1970,13,1,7511000,3379950,3312000,10205,6,2684000,12593,6,.,.,.
1970,13,2,2874000,459840,3312000,1388,7,2684000,1713,7,.,.,.
1970,13,3,58089000,2614005,3312000,7893,9,2684000,9739,9,.,.,.
1970,13,4,.,6453795,3312000,19486,8,2684000,24045,8,.,.,.
1970,15,1,1386000,623700,555000,11238,4,450000,13860,4,.,.,.
1970,15,2,867000,138720,555000,2499,5,450000,3083,4,.,.,.
1970,15,3,13640000,613800,555000,11059,7,450000,13640,6,.,.,.
1970,15,4,.,1376220,555000,24797,5,450000,30583,5,.,.,.
1970,16,1,853000,383850,513000,7482,8,410000,9362,8,.,.,.
1970,16,2,312000,49920,513000,973,9,410000,1218,9,.,.,.
1970,16,3,13635000,613575,513000,11961,5,410000,14965,4,.,.,.
1970,16,4,.,1047345,513000,20416,7,410000,25545,8,.,.,.
1970,17,1,24214000,10896300,8162000,13350,3,6755000,16131,3,.,.,.
1970,17,2,13845000,2215200,8162000,2714,4,6755000,3279,4,.,.,.
1970,17,3,220190000,9908550,8162000,12140,4,6755000,14668,5,.,.,.
1970,17,4,.,23020050,8162000,28204,3,6755000,34079,3,.,.,.
1970,18,1,5773000,2597850,3769000,6893,9,3071000,8459,9,.,.,.
1970,18,2,2807000,449120,3769000,1192,8,3071000,1462,8,.,.,.
1970,18,3,84042000,3781890,3769000,10034,8,3071000,12315,8,.,.,.
1970,18,4,.,6828860,3769000,18118,9,3071000,22237,9,.,.,.
1970,19,1,3153000,1418850,2076000,6835,10,1699000,8351,10,.,.,.
1970,19,2,780000,124800,2076000,601,10,1699000,735,10,.,.,.
1970,19,3,50294000,2263230,2076000,10902,7,1699000,13321,7,.,.,.
1970,19,4,.,3806880,2076000,18338,8,1699000,22407,8,.,.,.
1970,20,1,2410000,1084500,1678000,6463,10,1373000,7899,10,.,.,.
1970,20,2,963000,154080,1678000,918,9,1373000,1122,9,.,.,.
1970,20,3,31852000,1433340,1678000,8542,9,1373000,10439,9,.,.,.
1970,20,4,.,2671920,1678000,15923,10,1373000,19460,10,.,.,.
1970,21,1,4420000,1989000,2363000,8417,8,1918000,10370,8,.,.,.
1970,21,2,1222000,195520,2363000,827,10,1918000,1019,10,.,.,.
1970,21,3,49079000,2208555,2363000,9346,8,1918000,11515,8,.,.,.
1970,21,4,.,4393075,2363000,18591,8,1918000,22904,8,.,.,.
1970,22,1,5195000,2337750,2567000,9107,7,2041000,11454,7,.,.,.
1970,22,2,4593000,734880,2567000,2863,4,2041000,3601,4,.,.,.
1970,22,3,68578000,3086010,2567000,12022,4,2041000,15120,4,.,.,.
1970,22,4,.,6158640,2567000,23992,6,2041000,30175,6,.,.,.
1970,23,1,1668000,750600,727000,10325,5,597000,12573,6,.,.,.
1970,23,2,439000,70240,727000,966,9,597000,1177,9,.,.,.
1970,23,3,19981000,899145,727000,12368,3,597000,15061,4,.,.,.
1970,23,4,.,1719985,727000,23659,6,597000,28810,6,.,.,.
1970,24,1,8748000,3936600,2842000,13852,2,2342000,16809,2,.,.,.
1970,24,2,4502000,720320,2842000,2535,4,2342000,3076,5,.,.,.
1970,24,3,82602000,3717090,2842000,13079,2,2342000,15871,2,.,.,.
1970,24,4,.,8374010,2842000,29465,2,2342000,35756,2,.,.,.
1970,25,1,12732000,5729400,4229000,13548,3,3507000,16337,3,.,.,.
1970,25,2,7925000,1268000,4229000,2998,4,3507000,3616,4,.,.,.
1970,25,3,107655000,4844475,4229000,11455,6,3507000,13814,6,.,.,.
1970,25,4,.,11841875,4229000,28002,3,3507000,33766,4,.,.,.
1970,26,1,15056000,6775200,6359000,10655,5,5146000,13166,5,.,.,.
1970,26,2,9517000,1522720,6359000,2395,5,5146000,2959,5,.,.,.
1970,26,3,193944000,8727480,6359000,13725,2,5146000,16960,2,.,.,.
1970,26,4,.,17025400,6359000,26774,4,5146000,33085,4,.,.,.
1970,27,1,7484000,3367800,2735000,12314,4,2219000,15177,4,.,.,.
1970,27,2,2692000,430720,2735000,1575,6,2219000,1941,7,.,.,.
1970,27,3,69288000,3117960,2735000,11400,6,2219000,14051,6,.,.,.
1970,27,4,.,6916480,2735000,25289,5,2219000,31169,5,.,.,.
1970,28,1,2458000,1106100,1568000,7054,9,1242000,8906,9,.,.,.
1970,28,2,797000,127520,1568000,813,10,1242000,1027,10,.,.,.
1970,28,3,28648000,1289160,1568000,8222,9,1242000,10380,9,.,.,.
1970,28,4,.,2522780,1568000,16089,9,1242000,20312,9,.,.,.
1970,29,1,7724000,3475800,3479000,9991,6,2879000,12073,7,.,.,.
1970,29,2,4228000,676480,3479000,1944,6,2879000,2350,6,.,.,.
1970,29,3,86940000,3912300,3479000,11245,6,2879000,13589,7,.,.,.
1970,29,4,.,8064580,3479000,23181,7,2879000,28012,7,.,.,.
1970,30,1,1145000,515250,502000,10264,6,405000,12722,6,.,.,.
1970,30,2,418000,66880,502000,1332,8,405000,1651,8,.,.,.
1970,30,3,17179000,773055,502000,15400,1,405000,19088,1,.,.,.
1970,30,4,.,1355185,502000,26996,4,405000,33461,4,.,.,.
1970,31,1,2463000,1108350,1093000,10140,6,894000,12398,6,.,.,.
1970,31,2,902000,144320,1093000,1320,8,894000,1614,8,.,.,.
1970,31,3,31183000,1403235,1093000,12838,3,894000,15696,3,.,.,.
1970,31,4,.,2655905,1093000,24299,6,894000,29708,6,.,.,.
1970,32,1,2499000,1124550,354000,31767,1,297000,37864,1,.,.,.
1970,32,2,1482000,237120,354000,6698,1,297000,7984,1,.,.,.
1970,32,3,13620000,612900,354000,17314,1,297000,20636,1,.,.,.
1970,32,4,.,1974570,354000,55779,1,297000,66484,1,.,.,.
1970,33,1,3371000,1516950,537000,28249,1,443000,34243,1,.,.,.
1970,33,2,1058000,169280,537000,3152,3,443000,3821,3,.,.,.
1970,33,3,20079000,903555,537000,16826,1,443000,20396,1,.,.,.
1970,33,4,.,2589785,537000,48227,1,443000,58460,1,.,.,.
1970,34,1,16289000,7330050,5313000,13796,3,4459000,16439,3,.,.,.
1970,34,2,12629000,2020640,5313000,3803,2,4459000,4532,3,.,.,.
1970,34,3,138322000,6224490,5313000,11716,6,4459000,13959,6,.,.,.
1970,34,4,.,15575180,5313000,29315,3,4459000,34930,3,.,.,.
1970,35,1,1530000,688500,701000,9822,7,554000,12428,6,.,.,.
1970,35,2,1597000,255520,701000,3645,3,554000,4612,2,.,.,.
1970,35,3,18665000,839925,701000,11982,4,554000,15161,4,.,.,.
1970,35,4,.,1783945,701000,25449,5,554000,32201,5,.,.,.
1970,36,1,43365000,19514250,13696000,14248,2,11509000,16956,2,.,.,.
1970,36,2,33994000,5439040,13696000,3971,1,11509000,4726,2,.,.,.
1970,36,3,357617000,16092765,13696000,11750,5,11509000,13983,6,.,.,.
1970,36,4,.,41046055,13696000,29969,2,11509000,35664,2,.,.,.
1970,37,1,7584000,3412800,3734000,9140,7,3003000,11365,7,.,.,.
1970,37,2,3688000,590080,3734000,1580,6,3003000,1965,6,.,.,.
1970,37,3,59386000,2672370,3734000,7157,10,3003000,8899,10,.,.,.
1970,37,4,.,6675250,3734000,17877,9,3003000,22229,9,.,.,.
1970,38,1,1009000,454050,446000,10180,6,356000,12754,5,.,.,.
1970,38,2,299000,47840,446000,1073,9,356000,1344,9,.,.,.
1970,38,3,12038000,541710,446000,12146,4,356000,15217,3,.,.,.
1970,38,4,.,1043600,446000,23399,6,356000,29315,6,.,.,.
1970,39,1,14046000,6320700,7764000,8141,8,6355000,9946,8,.,.,.
1970,39,2,9062000,1449920,7764000,1867,6,6355000,2282,6,.,.,.
1970,39,3,209830000,9442350,7764000,12162,4,6355000,14858,4,.,.,.
1970,39,4,.,17212970,7764000,22170,7,6355000,27086,7,.,.,.
1970,40,1,3568000,1605600,1921000,8358,8,1584000,10136,8,.,.,.
1970,40,2,1749000,279840,1921000,1457,7,1584000,1767,7,.,.,.
1970,40,3,33200000,1494000,1921000,7777,10,1584000,9432,10,.,.,.
1970,40,4,.,3379440,1921000,17592,9,1584000,21335,9,.,.,.
1970,41,1,3135000,1410750,1564000,9020,7,1284000,10987,7,.,.,.
1970,41,2,3841000,614560,1564000,3929,1,1284000,4786,1,.,.,.
1970,41,3,40798000,1835910,1564000,11739,6,1284000,14298,6,.,.,.
1970,41,4,.,3861220,1564000,24688,6,1284000,30072,6,.,.,.
1970,42,1,16188000,7284600,8846000,8235,8,7357000,9902,8,.,.,.
1970,42,2,10675000,1708000,8846000,1931,6,7357000,2322,6,.,.,.
1970,42,3,248341000,11175345,8846000,12633,3,7357000,15190,3,.,.,.
1970,42,4,.,20167945,8846000,22799,7,7357000,27413,7,.,.,.
1970,44,1,1867000,840150,716000,11734,4,592000,14192,4,.,.,.
1970,44,2,1688000,270080,716000,3772,2,592000,4562,2,.,.,.
1970,44,3,20360000,916200,716000,12796,3,592000,15476,3,.,.,.
1970,44,4,.,2026430,716000,28302,3,592000,34230,3,.,.,.
1970,45,1,4484000,2017800,1859000,10854,5,1467000,13755,5,.,.,.
1970,45,2,1802000,288320,1859000,1551,7,1467000,1965,6,.,.,.
1970,45,3,32897000,1480365,1859000,7963,9,1467000,10091,9,.,.,.
1970,45,4,.,3786485,1859000,20368,8,1467000,25811,7,.,.,.
1970,46,1,972000,437400,484000,9037,7,387000,11302,7,.,.,.
1970,46,2,402000,64320,484000,1329,8,387000,1662,7,.,.,.
1970,46,3,9993000,449685,484000,9291,8,387000,11620,8,.,.,.
1970,46,4,.,951405,484000,19657,8,387000,24584,8,.,.,.
1970,47,1,3766000,1694700,2906000,5832,10,2378000,7127,10,.,.,.
1970,47,2,1160000,185600,2906000,639,10,2378000,780,10,.,.,.
1970,47,3,56240000,2530800,2906000,8709,8,2378000,10643,8,.,.,.
1970,47,4,.,4411100,2906000,15179,10,2378000,18550,10,.,.,.
1970,48,1,13282000,5976900,8100000,7379,9,6567000,9101,9,.,.,.
1970,48,2,8770000,1403200,8100000,1732,6,6567000,2137,6,.,.,.
1970,48,3,236125000,10625625,8100000,13118,2,6567000,16180,2,.,.,.
1970,48,4,.,18005725,8100000,22229,7,6567000,27418,7,.,.,.
1970,49,1,927000,417150,731000,5707,10,570000,7318,10,.,.,.
1970,49,2,559000,89440,731000,1224,8,570000,1569,8,.,.,.
1970,49,3,12215000,549675,731000,7519,10,570000,9643,10,.,.,.
1970,49,4,.,1056265,731000,14450,10,570000,18531,10,.,.,.
1970,50,1,1240000,558000,322000,17329,2,261000,21379,1,.,.,.
1970,50,2,778000,124480,322000,3866,2,261000,4769,2,.,.,.
1970,50,3,9906000,445770,322000,13844,2,261000,17079,1,.,.,.
1970,50,4,.,1128250,322000,35039,1,261000,43228,1,.,.,.
1970,51,1,7717000,3472650,3418000,10160,6,2790000,12447,6,.,.,.
1970,51,2,4373000,699680,3418000,2047,5,2790000,2508,5,.,.,.
1970,51,3,84553000,3804885,3418000,11132,7,2790000,13638,7,.,.,.
1970,51,4,.,7977215,3418000,23339,6,2790000,28592,6,.,.,.
1970,53,1,6024000,2710800,2520000,10757,5,2057000,13178,5,.,.,.
1970,53,2,6148000,983680,2520000,3903,2,2057000,4782,1,.,.,.
1970,53,3,66838000,3007710,2520000,11935,5,2057000,14622,5,.,.,.
1970,53,4,.,6702190,2520000,26596,5,2057000,32582,5,.,.,.
1970,54,1,1996000,898200,1306000,6877,9,1069000,8402,9,.,.,.
1970,54,2,722000,115520,1306000,885,10,1069000,1081,10,.,.,.
1970,54,3,25117000,1130265,1306000,8654,9,1069000,10573,9,.,.,.
1970,54,4,.,2143985,1306000,16416,9,1069000,20056,9,.,.,.
1970,55,1,8867000,3990150,3192000,12500,4,2592000,15394,4,.,.,.
1970,55,2,4332000,693120,3192000,2171,5,2592000,2674,5,.,.,.
1970,55,3,121486000,5466870,3192000,17127,1,2592000,21091,1,.,.,.
1970,55,4,.,10150140,3192000,31799,2,2592000,39159,2,.,.,.
1970,56,1,616000,277200,241000,11502,4,195000,14215,4,.,.,.
1970,56,2,236000,37760,241000,1567,7,195000,1936,7,.,.,.
1970,56,3,6867000,309015,241000,12822,3,195000,15847,3,.,.,.
1970,56,4,.,623975,241000,25891,5,195000,31999,5,.,.,.
1970,91,1,103997000,46798650,36624000,12778,.,30593000,15297,.,.,.,.
1970,91,2,73912000,11825920,36624000,3229,.,30593000,3866,.,.,.,.
1970,91,3,971941000,43737345,36624000,11942,.,30593000,14297,.,.,.,.
1970,91,4,.,102361915,36624000,27949,.,30593000,33459,.,.,.,.
1970,92,1,93171000,41926950,41237000,10167,.,33726000,12432,.,.,.,.
1970,92,2,49829000,7972640,41237000,1933,.,33726000,2364,.,.,.,.
1970,92,3,1121080000,50448600,41237000,12234,.,33726000,14958,.,.,.,.
1970,92,4,.,100348190,41237000,24335,.,33726000,29754,.,.,.,.
1970,93,1,101110000,45499500,45958000,9900,.,37437000,12154,.,.,.,.
1970,93,2,51900000,8304000,45958000,1807,.,37437000,2218,.,.,.,.
1970,93,3,1023368000,46051560,45958000,10020,.,37437000,12301,.,.,.,.
1970,93,4,.,99855060,45958000,21727,.,37437000,26673,.,.,.,.
1970,94,1,71592000,32216400,25577000,12596,.,20966000,15366,.,.,.,.
1970,94,2,80160000,12825600,25577000,5015,.,20966000,6117,.,.,.,.
1970,94,3,653223000,29395035,25577000,11493,.,20966000,14020,.,.,.,.
1970,94,4,.,74437035,25577000,29103,.,20966000,35504,.,.,.,.
1970,99,1,369870000,166441500,149396000,11141,.,122722000,13562,.,.,.,.
1970,99,2,255801000,40928160,149396000,2740,.,122722000,3335,.,.,.,.
1970,99,3,3769612000,169632540,149396000,11355,.,122722000,13823,.,.,.,.
1970,99,4,.,377002200,149396000,25235,.,122722000,30720,.,.,.,.
1971,1,1,4332000,1949400,2560385,7614,9,2068321,9425,9,.,.,.
1971,1,2,1504000,240640,2560385,940,10,2068321,1163,10,.,.,.
1971,1,3,37598000,1691910,2560385,6608,10,2068321,8180,10,.,.,.
1971,1,4,.,3881950,2560385,15162,10,2068321,18769,10,.,.,.
1971,2,1,1029000,463050,215277,21509,1,170598,27143,1,.,.,.
1971,2,2,582000,93120,215277,4326,2,170598,5458,2,.,.,.
1971,2,3,6336000,285120,215277,13244,3,170598,16713,2,.,.,.
1971,2,4,.,841290,215277,39079,1,170598,49314,1,.,.,.
1971,4,1,3274000,1473300,1376038,10707,5,1114048,13225,5,.,.,.
1971,4,2,2999000,479840,1376038,3487,4,1114048,4307,4,.,.,.
1971,4,3,41837000,1882665,1376038,13682,2,1114048,16899,2,.,.,.
1971,4,4,.,3835805,1376038,27876,4,1114048,34431,4,.,.,.
1971,5,1,1815000,816750,1467988,5564,10,1206524,6769,10,.,.,.
1971,5,2,1258000,201280,1467988,1371,8,1206524,1668,8,.,.,.
1971,5,3,25020000,1125900,1467988,7670,10,1206524,9332,10,.,.,.
1971,5,4,.,2143930,1467988,14605,10,1206524,17769,10,.,.,.
1971,6,1,46657000,20995650,15231436,13784,3,12563372,16712,3,.,.,.
1971,6,2,64162000,10265920,15231436,6740,1,12563372,8171,1,.,.,.
1971,6,3,380397000,17117865,15231436,11239,7,12563372,13625,7,.,.,.
1971,6,4,.,48379435,15231436,31763,2,12563372,38508,2,.,.,.
1971,8,1,4993000,2246850,1693618,13267,3,1367905,16425,3,.,.,.
1971,8,2,3983000,637280,1693618,3763,3,1367905,4659,3,.,.,.
1971,8,3,45359000,2041155,1693618,12052,5,1367905,14922,5,.,.,.
1971,8,4,.,4925285,1693618,29081,3,1367905,36006,2,.,.,.
1971,9,1,7318000,3293100,2279133,14449,2,1894979,17378,2,.,.,.
1971,9,2,5240000,838400,2279133,3679,4,1894979,4424,4,.,.,.
1971,9,3,50381000,2267145,2279133,9947,8,1894979,11964,8,.,.,.
1971,9,4,.,6398645,2279133,28075,4,1894979,33766,4,.,.,.
1971,10,1,1579000,710550,410808,17296,2,333058,21334,2,.,.,.
1971,10,2,604000,96640,410808,2352,6,333058,2902,6,.,.,.
1971,10,3,10948000,492660,410808,11992,5,333058,14792,5,.,.,.
1971,10,4,.,1299850,410808,31641,2,333058,39028,2,.,.,.
1971,11,1,5707000,2568150,580669,44227,1,486960,52738,1,.,.,.
1971,11,2,3288000,526080,580669,9060,1,486960,10803,1,.,.,.
1971,11,3,17597000,791865,580669,13637,2,486960,16261,3,.,.,.
1971,11,4,.,3886095,580669,66924,1,486960,79803,1,.,.,.
1971,12,1,18414000,8286300,5493340,15084,2,4624502,17918,2,.,.,.
1971,12,2,11174000,1787840,5493340,3255,4,4624502,3866,4,.,.,.
1971,12,3,143345000,6450525,5493340,11742,6,4624502,13949,6,.,.,.
1971,12,4,.,16524665,5493340,30081,2,4624502,35733,3,.,.,.
1971,13,1,8185000,3683250,3423114,10760,5,2770797,13293,5,.,.,.
1971,13,2,2636000,421760,3423114,1232,9,2770797,1522,9,.,.,.
1971,13,3,64879000,2919555,3423114,8529,9,2770797,10537,9,.,.,.
1971,13,4,.,7024565,3423114,20521,8,2770797,25352,8,.,.,.
1971,15,1,1200000,540000,582518,9270,7,470301,11482,7,.,.,.
1971,15,2,1332000,213120,582518,3659,4,470301,4532,3,.,.,.
1971,15,3,14725000,662625,582518,11375,7,470301,14089,6,.,.,.
1971,15,4,.,1415745,582518,24304,6,470301,30103,6,.,.,.
1971,16,1,910000,409500,535331,7649,8,427904,9570,8,.,.,.
1971,16,2,863000,138080,535331,2579,5,427904,3227,5,.,.,.
1971,16,3,14883000,669735,535331,12511,4,427904,15652,4,.,.,.
1971,16,4,.,1217315,535331,22739,7,427904,28448,6,.,.,.
1971,17,1,25466000,11459700,8294983,13815,3,6838832,16757,3,.,.,.
1971,17,2,16297000,2607520,8294983,3143,5,6838832,3813,5,.,.,.
1971,17,3,224559000,10105155,8294983,12182,5,6838832,14776,5,.,.,.
1971,17,4,.,24172375,8294983,29141,3,6838832,35346,3,.,.,.
1971,18,1,5825000,2621250,3845030,6817,10,3126082,8385,10,.,.,.
1971,18,2,3210000,513600,3845030,1336,9,3126082,1643,9,.,.,.
1971,18,3,85908000,3865860,3845030,10054,8,3126082,12366,8,.,.,.
1971,18,4,.,7000710,3845030,18207,9,3126082,22395,9,.,.,.
1971,19,1,3335000,1500750,2114128,7099,9,1728873,8681,9,.,.,.
1971,19,2,957000,153120,2114128,724,10,1728873,886,10,.,.,.
1971,19,3,51902000,2335590,2114128,11048,7,1728873,13509,7,.,.,.
1971,19,4,.,3989460,2114128,18870,8,1728873,23075,9,.,.,.
1971,20,1,2598000,1169100,1692630,6907,10,1383160,8452,10,.,.,.
1971,20,2,1080000,172800,1692630,1021,9,1383160,1249,10,.,.,.
1971,20,3,33646000,1514070,1692630,8945,9,1383160,10946,9,.,.,.
1971,20,4,.,2855970,1692630,16873,10,1383160,20648,10,.,.,.
1971,21,1,4664000,2098800,2438236,8608,8,1978745,10607,8,.,.,.
1971,21,2,1516000,242560,2438236,995,10,1978745,1226,10,.,.,.
1971,21,3,52139000,2346255,2438236,9623,8,1978745,11857,8,.,.,.
1971,21,4,.,4687615,2438236,19225,8,1978745,23690,8,.,.,.
1971,22,1,5702000,2565900,2643998,9705,6,2102001,12207,6,.,.,.
1971,22,2,5436000,869760,2643998,3290,4,2102001,4138,4,.,.,.
1971,22,3,68724000,3092580,2643998,11697,6,2102001,14713,5,.,.,.
1971,22,4,.,6528240,2643998,24691,6,2102001,31057,6,.,.,.
1971,23,1,1650000,742500,749278,9910,6,614613,12081,6,.,.,.
1971,23,2,1867000,298720,749278,3987,3,614613,4860,3,.,.,.
1971,23,3,21206000,954270,749278,12736,3,614613,15526,4,.,.,.
1971,23,4,.,1995490,749278,26632,5,614613,32467,5,.,.,.
1971,24,1,9377000,4219650,2940868,14348,2,2409210,17515,2,.,.,.
1971,24,2,5213000,834080,2940868,2836,5,2409210,3462,5,.,.,.
1971,24,3,83812000,3771540,2940868,12825,3,2409210,15655,3,.,.,.
1971,24,4,.,8825270,2940868,30009,3,2409210,36631,2,.,.,.
1971,25,1,13089000,5890050,4302486,13690,3,3559538,16547,3,.,.,.
1971,25,2,10051000,1608160,4302486,3738,3,3559538,4518,4,.,.,.
1971,25,3,110110000,4954950,4302486,11516,6,3559538,13920,6,.,.,.
1971,25,4,.,12453160,4302486,28944,3,3559538,34985,3,.,.,.
1971,26,1,15374000,6918300,6498960,10645,5,5238275,13207,5,.,.,.
1971,26,2,11246000,1799360,6498960,2769,5,5238275,3435,5,.,.,.
1971,26,3,195328000,8789760,6498960,13525,2,5238275,16780,2,.,.,.
1971,26,4,.,17507420,6498960,26939,5,5238275,33422,4,.,.,.
1971,27,1,8054000,3624300,2800251,12943,4,2265237,16000,4,.,.,.
1971,27,2,3564000,570240,2800251,2036,6,2265237,2517,6,.,.,.
1971,27,3,71779000,3230055,2800251,11535,6,2265237,14259,6,.,.,.
1971,27,4,.,7424595,2800251,26514,5,2265237,32776,5,.,.,.
1971,28,1,2679000,1205550,1618613,7448,9,1282579,9399,9,.,.,.
1971,28,2,1022000,163520,1618613,1010,10,1282579,1275,9,.,.,.
1971,28,3,32566000,1465470,1618613,9054,9,1282579,11426,8,.,.,.
1971,28,4,.,2834540,1618613,17512,9,1282579,22100,9,.,.,.
1971,29,1,7436000,3346200,3544936,9439,7,2924758,11441,7,.,.,.
1971,29,2,4124000,659840,3544936,1861,7,2924758,2256,7,.,.,.
1971,29,3,89253000,4016385,3544936,11330,7,2924758,13732,7,.,.,.
1971,29,4,.,8022425,3544936,22631,7,2924758,27429,7,.,.,.
1971,30,1,1211000,544950,519812,10484,6,418430,13024,5,.,.,.
1971,30,2,477000,76320,519812,1468,8,418430,1824,8,.,.,.
1971,30,3,17946000,807570,519812,15536,1,418430,19300,1,.,.,.
1971,30,4,.,1428840,519812,27488,4,418430,34148,4,.,.,.
1971,31,1,2546000,1145700,1118161,10246,6,913405,12543,6,.,.,.
1971,31,2,1126000,180160,1118161,1611,8,913405,1972,8,.,.,.
1971,31,3,33508000,1507860,1118161,13485,2,913405,16508,2,.,.,.
1971,31,4,.,2833720,1118161,25343,6,913405,31024,6,.,.,.
1971,32,1,2690000,1210500,380827,31786,1,317556,38119,1,.,.,.
1971,32,2,1683000,269280,380827,7071,1,317556,8480,1,.,.,.
1971,32,3,14492000,652140,380827,17124,1,317556,20536,1,.,.,.
1971,32,4,.,2131920,380827,55981,1,317556,67135,1,.,.,.
1971,33,1,3828000,1722600,559435,30792,1,461866,37297,1,.,.,.
1971,33,2,1385000,221600,559435,3961,3,461866,4798,3,.,.,.
1971,33,3,22200000,999000,559435,17857,1,461866,21630,1,.,.,.
1971,33,4,.,2943200,559435,52610,1,461866,63724,1,.,.,.
1971,34,1,16440000,7398000,5440722,13597,3,4545133,16277,3,.,.,.
1971,34,2,14333000,2293280,5440722,4215,2,4545133,5046,2,.,.,.
1971,34,3,139962000,6298290,5440722,11576,6,4545133,13857,6,.,.,.
1971,34,4,.,15989570,5440722,29389,3,4545133,35180,3,.,.,.
1971,35,1,1528000,687600,737485,9324,7,580886,11837,7,.,.,.
1971,35,2,1761000,281760,737485,3821,3,580886,4851,3,.,.,.
1971,35,3,20613000,927585,737485,12578,4,580886,15968,3,.,.,.
1971,35,4,.,1896945,737485,25722,5,580886,32656,5,.,.,.
1971,36,1,43333000,19499850,13872367,14057,2,11629941,16767,2,.,.,.
1971,36,2,38515000,6162400,13872367,4442,2,11629941,5299,2,.,.,.
1971,36,3,357646000,16094070,13872367,11602,6,11629941,13838,7,.,.,.
1971,36,4,.,41756320,13872367,30100,2,11629941,35904,3,.,.,.
1971,37,1,7710000,3469500,3851550,9008,7,3103016,11181,7,.,.,.
1971,37,2,4673000,747680,3851550,1941,6,3103016,2410,6,.,.,.
1971,37,3,66203000,2979135,3851550,7735,10,3103016,9601,10,.,.,.
1971,37,4,.,7196315,3851550,18684,9,3103016,23191,8,.,.,.
1971,38,1,1073000,482850,458709,10526,5,365542,13209,5,.,.,.
1971,38,2,354000,56640,458709,1235,9,365542,1549,9,.,.,.
1971,38,3,12831000,577395,458709,12587,4,365542,15796,3,.,.,.
1971,38,4,.,1116885,458709,24348,6,365542,30554,6,.,.,.
1971,39,1,14150000,6367500,7903561,8056,8,6448795,9874,8,.,.,.
1971,39,2,10567000,1690720,7903561,2139,6,6448795,2622,6,.,.,.
1971,39,3,209719000,9437355,7903561,11941,5,6448795,14634,6,.,.,.
1971,39,4,.,17495575,7903561,22136,7,6448795,27130,7,.,.,.
1971,40,1,3520000,1584000,1978410,8006,8,1628378,9727,8,.,.,.
