Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1912,-.25,-.13,-.37,-.17,-.21,-.23,-.42,-.54,-.57,-.57,-.39,-.43,-.36,-.34,-.20,-.25,-.40,-.51
1913,-.40,-.45,-.43,-.39,-.44,-.45,-.36,-.32,-.34,-.32,-.20,-.02,-.34,-.38,-.42,-.42,-.38,-.29
1914,.05,-.09,-.24,-.29,-.21,-.25,-.24,-.16,-.17,-.03,-.15,-.04,-.15,-.15,-.02,-.25,-.22,-.12
1915,-.21,-.03,-.09,.06,-.06,-.22,-.12,-.21,-.20,-.24,-.12,-.21,-.14,-.12,-.09,-.03,-.18,-.19
1916,-.12,-.14,-.28,-.30,-.34,-.49,-.37,-.27,-.36,-.32,-.46,-.81,-.36,-.31,-.16,-.31,-.38,-.38
1917,-.57,-.63,-.64,-.55,-.55,-.43,-.25,-.22,-.23,-.44,-.34,-.67,-.46,-.47,-.67,-.58,-.30,-.33
1918,-.47,-.34,-.25,-.44,-.43,-.36,-.31,-.31,-.18,-.06,-.11,-.29,-.30,-.33,-.49,-.37,-.33,-.12
1919,-.20,-.24,-.21,-.12,-.28,-.36,-.29,-.33,-.26,-.20,-.41,-.42,-.28,-.27,-.24,-.20,-.33,-.29
1920,-.24,-.27,-.12,-.24,-.27,-.36,-.30,-.27,-.22,-.26,-.26,-.46,-.27,-.27,-.31,-.21,-.31,-.25
1921,-.04,-.17,-.23,-.30,-.30,-.27,-.15,-.26,-.19,-.03,-.13,-.17,-.19,-.21,-.22,-.28,-.22,-.12
1922,-.33,-.44,-.15,-.23,-.33,-.30,-.27,-.32,-.36,-.32,-.14,-.18,-.28,-.28,-.31,-.23,-.30,-.27
1923,-.28,-.39,-.34,-.41,-.33,-.29,-.30,-.32,-.31,-.13,-.02,-.04,-.26,-.28,-.28,-.36,-.30,-.16
1924,-.23,-.24,-.08,-.31,-.18,-.26,-.29,-.36,-.32,-.35,-.21,-.43,-.27,-.24,-.17,-.19,-.30,-.29
1925,-.38,-.40,-.27,-.25,-.29,-.32,-.26,-.19,-.19,-.17,.05,.06,-.22,-.26,-.40,-.27,-.26,-.10
1926,.21,.03,.11,-.12,-.23,-.26,-.27,-.13,-.14,-.11,-.06,-.29,-.10,-.07,.10,-.08,-.22,-.10
1927,-.27,-.18,-.38,-.31,-.25,-.27,-.18,-.24,-.13,-.01,-.06,-.33,-.22,-.21,-.24,-.31,-.23,-.06
1928,-.02,-.09,-.25,-.27,-.29,-.38,-.19,-.22,-.21,-.19,-.09,-.16,-.20,-.21,-.15,-.27,-.26,-.16
